,Fecha Emisión,Fecha Publicación,Delitos-Modalidades,Juez,Sentido del Fallo,Descripción o Criterios Judiciales,Sentencia,real_url
0,18/marzo/2021,18/marzo/2021,ROBO CON VIOLENCIA,MARÍA DEL SOCORRO PÉREZ CÓRDOVA(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmncDgyaEL9EtUE8NkdRu9HhaRdE1BgbxKCzgkcOVdVHBRtnldHOXTWQoI+swi+aG8D3G7zE1fbNkDt7r5RNV1Q942VfdkOjmMJ6ZrqUM02FwlQXgCcYKkDf/LZIEm5QL0iqyZgYxMK8Cpk4Js0QUmQT1NUoK6pWQ0sgCQ/N76E7iFrinLwF4dSd4QjrVqejYRU=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\146198-1df3f763-b319-41a4-8eaf-f9a908b9904b.pdf
1,10/marzo/2021,12/marzo/2021,ATENTADOS AL PUDOR,PRIMITIVO JESÚS GUTIÉRREZ VÉLEZ(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmkP52xiKYRVCMMPzOTwNUWok5NPYevVEEVMozEa+abhnIC9Pc3gWfthemVyIStCdic9epkz/bS0xjswIcQ0X5J5crlG/jYr8qZtS0kbL4OLyXGLWgecFPp/dlcMPJ2KJOKb+FN4VgCA4K95MAGwYqU9+lA7LDUipHTYSiQ/2yPxPj+8dekEyiWZejWBYdat5Co=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\146198-83c84ac9-4ad0-4f1b-894d-e47dc9729246.pdf
2,04/marzo/2021,19/marzo/2021,LESIONES DOLOSAS CALIFICADA,GRACIELA CÁZARES CHARLES(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmm867HIZKEpSdDhFlWwqCIUUkP5cYaRfk35VDM/lZcFtybLIiqn8gwZTzJ255n8NQgQ7n47V8jELHXWJSp48fJY+oKXbfXYVvYwE2Q8EChu7k27jhmyUfoRAxxJb/BvkYvb7votbhtBRW42wXkvlyEOZrwF/SWH+xiYkPtbk28DU0JZDhOAPE2CmQ6nrjEFGKI=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\145264-32a17deb-30d2-4bf1-a660-7e95a8fe5bd9.pdf
3,26/febrero/2021,01/marzo/2021,HOMICIDIO CULPOSO,GRACIELA CÁZARES CHARLES(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlyHHLsl7SpWTIeqQrm4dRWxPrCVw8TQ60eGZVwMimRrK5EzhAsnrDpsul94ewJefdWrUQ6DDuGBXMf/ew4LSO2F8iGTonuQ4fE622HQgj0PqMuHV+o9hQa5vvoux7Gwnn08Ux0R/JmoMHvCO2s2vt6exX9QbTdV7rrtkT9aDjs9qTJb9V8qYkv5Rqy8c0yAYg=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\144168-a48f59ca-15d3-47f0-8deb-79ecd5281859.pdf
4,24/febrero/2021,01/marzo/2021,DELITOS CONTRA LA SALUD NARCOMENUDEO,MARÍA DEL SOCORRO PÉREZ CÓRDOVA(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmkTkeNKTNxwoG0JpEbUv608RsZPxG8ucG+DLg4lq7wS5FUbRdlG6p5JGJCcBlQ0rME988K78AYMIQ4BV+RZKD2A3EqlrDO+dDFsDM9wOctfTn5VWPCXBCmhuAsc8amKPxCssFnKG8b52MdaKfUCYNTxwdHxvIBpQJgUUp68ZXdBkInTeLFdwdUHsnZu1cvyOtM=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\143566-5687221d-0369-47f7-8582-ade6ea9a9a52.pdf
5,19/febrero/2021,01/marzo/2021,DELITOS CONTRA LA SALUD NARCOMENUDEO,MARÍA DEL SOCORRO PÉREZ CÓRDOVA(Elabora),CONDENATORIO,SENTENCIA DE PROCEDIMIENTO ESPECIAL,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmnKbiHr/Ic9yOVMRMQ+O+uuvCzi796MlntRxPT3vvq0Xnxons2EdXj1Mfcc7NiOzozqiTKUoNb/piereIi1vHTnwImXUDKXZAVEd8rgIcP1OoTNXCxB9qGyxY1YFwpr/19v5/+PnfrW8Dbs30pNK2Vo2f148kpoOIzNc/5jEF07krnks1le44XEOwbNRoYkZ+8=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\142911-c1b1f3df-3c4d-4817-8eb4-3bd06335b738.pdf
6,18/febrero/2021,01/marzo/2021,AMENAZAS,GRACIELA CÁZARES CHARLES(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlcj7xVxYsDC+teitwdXxHrcDP5WaOueKTqj9Mftf+ZQzinhso9x6syI94f6hkUn4cQ3zaieQkFMmZhd6lXEbPWvA6wk5Md7nMTjm2X6XPlD+N0wGL499ZuTB3GN2WHO+RZpaeTOSN0bAJVBf3nyeZ/oZsYfyjTAExDqwmPShhZEiJmBxTw3EMN6EQZL19U+Wk=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\142219-90ef2ce7-93bd-471e-97b9-dc3ef4a0e9a6.pdf
7,17/febrero/2021,01/marzo/2021,LESIONES DOLOSAS CALIFICADA,PRIMITIVO JESÚS GUTIÉRREZ VÉLEZ(Elabora),CONDENATORIO,SENTENCIA CONDENATORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlEhsAvYogUj3y81Sd66YHPQH7oWFOU6quJ4BDsbIr8sUGi2t/JuTKNpz+V7A24eToSLLqEDiFgYizJspAuRzwKrN8VfcsoqzMPbAQP5eu49kd1EVSyaKw+F5sjWB66FIge/feLJNjnMsCAOHYCRnbxFEvm5eIrLXnYBa5O09jcoauTXSAF3A6iY9nJtKG0r1U=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\142028-326e03f7-6e3f-43dc-8610-005985eee46d.pdf
8,12/febrero/2021,01/marzo/2021,VIOLACION SIMPLE,ÓSCAR ENRIQUE MEDINA PÉREZ(Elabora),ABSOLUTORIO,SENTENCIA ABSOLUTORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmnHdOkzFFGKwIbvYuGzC1mWPEGNLcgAhviAMzZ9O0bScrfetjYcAICJLJbyFPhMVBOaj8xBZwnx6uWaqCEarNmbH28y+QPXM78IhyFBzP0QOeJCkDpM5MvnD7hYf3u+gBu5EL5DlXuAqo6ElS1cUx+E3FGShrAqmZWwrLvuc69BAexS8l487pDOxUzVGoo/+rQ=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\141765-d56617d7-b217-4d42-9a0e-7d0c4f53ef17.pdf
9,12/febrero/2021,01/marzo/2021,"PORTACION DE ARMA DEL USO EXCLUSIVO DEL EJERCITO, ARMADA Y FUERZA AEREA",PRIMITIVO JESÚS GUTIÉRREZ VÉLEZ(Elabora),ABSOLUTORIO,SENTENCIA ABSOLUTORIA,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/Visor.aspx?p=6IQayxSGvfKFFaLn0+VVEqTosJGQ3SsPJ4V99XdEAmlp0Nqn2jRbhlgKxysqvyewMlmuYm/6VNxYY0OnukP5fXD18OFEFwrakRZAQZq2U9PO3Hq0je0hskAZps1QTpR4c0iegU6f3vcsRDcEfLXFkRB4X42Fa4YD1Jl6f3X+LUewUonajD56n+A54a27+swhmv4KE8R7EMYu9L/xKvMZjTLfVHlCogoiY5M9p77rYj0=,https://www.pjenl.gob.mx/SentenciasPublicas/PDFVisor/controller.aspx?file=~\\files\\141190-9a00463b-494b-475c-a91c-feb637dfee38.pdf
